Note;Punkte;Prozent_ab
1+;15;98
1;14;95
1-;13;92
2+;12;89
2;11;85
2-;10;81
3+;9;77
3;8;73
3-;7;67
4+;6;62
4;5;57
4-;4;50
5+;3;45
5;2;38
5-;1;30
6;0;0
