Note;Punkte;Prozent_ab
1+;15;95
1;14;90
1-;13;85
2+;12;80
2;11;75
2-;10;70
3+;9;65
3;8;60
3-;7;55
4+;6;50
4;5;45
4-;4;40
5+;3;33,4
5;2;26,7
5-;1;20
6;0;0
